doi,analyte,des_system_key,full_score,pairwise_aggregate_score,hybrid_score,rank_hybrid,is_optimal
10.1016/j.chroma.2025.466262,Cyfluthrin,Coumarin || Thymol || 01:02,0.9999915588403655,0.0,0.6999940911882558,1.0,True
10.1016/j.chroma.2025.466262,Cypermethrin,Coumarin || Thymol || 01:02,0.9999922539577043,0.0,0.699994577770393,1.0,True
10.1016/j.chroma.2025.466262,Deltamethrin,Coumarin || Thymol || 01:02,0.999990943847302,0.0,0.6999936606931114,1.0,True
10.1016/j.chroma.2025.466262,Esfenvalerate,Coumarin || Thymol || 01:02,0.999993433951573,0.0,0.699995403766101,1.0,True
10.1016/j.chroma.2025.466262,Etofenprox,Coumarin || Thymol || 01:02,0.9999968265415373,0.0,0.6999977785790761,1.0,True
10.1016/j.chroma.2025.466262,Fenpropathrin,Coumarin || Thymol || 01:02,0.9999913214367381,0.0,0.6999939250057167,1.0,True
10.1016/j.chroma.2025.466262,Fenvalerate,Coumarin || Thymol || 01:02,0.999993433951573,0.0,0.699995403766101,1.0,True
10.1016/j.chroma.2025.466262,Flucythrinate,Coumarin || Thymol || 01:02,0.9999937415542842,0.0,0.6999956190879989,1.0,True
10.1016/j.chroma.2025.466262,Fluvalinate,Coumarin || Thymol || 01:02,0.9999929489326792,0.0,0.6999950642528754,1.0,True
10.1016/j.chroma.2025.466262,Lambda-cyhalothrin,Coumarin || Thymol || 01:02,0.999990392680626,0.0,0.6999932748764381,1.0,True
10.1016/j.chroma.2025.466262,Tefluthrin,Coumarin || Thymol || 01:02,0.9999737792700922,0.0,0.6999816454890645,1.0,True
10.1016/j.chroma.2025.466262,Trans-permethrin,Coumarin || Thymol || 01:02,0.9999962773280254,0.0,0.6999973941296178,1.0,True
10.1016/j.fluid.2017.04.002,Acetamiprid,DL-Menthol || Octanoic acid || 01:01,0.30032397045910475,0.3402886959214756,0.312313388097816,2.0,False
10.1016/j.fluid.2017.04.002,Acetamiprid,DL-Menthol || Dodecanoic acid || 02:01,0.33172109499041463,0.6597113040785244,0.4301181577168475,1.0,True
10.1016/j.fluid.2017.04.002,Imidacloprid,DL-Menthol || Octanoic acid || 01:01,0.8538352010902045,0.6278814863818909,0.7860490866777103,1.0,True
10.1016/j.fluid.2017.04.002,Imidacloprid,DL-Menthol || Decanoic acid || 01:01,0.833280471415497,0.3721185136181091,0.6949318840762806,2.0,False
10.1016/j.fluid.2017.04.002,Nitenpyram,DL-Menthol || Octanoic acid || 01:01,0.36076747470582,0.0,0.252537232294074,1.0,True
10.1016/j.fluid.2017.04.002,Thiamethoxam,DL-Menthol || Octanoic acid || 01:01,0.4613617086423122,0.0,0.32295319604961853,1.0,True
10.1016/j.jfca.2017.12.007,Bromopropylate,Choline chloride || p-chlorophenol || 01:02,0.8653656913450175,0.0,0.6057559839415122,1.0,True
10.1016/j.jfca.2017.12.007,Diazinon,Choline chloride || p-chlorophenol || 01:02,0.6973112432900469,0.5,0.6381178703030328,1.0,True
10.1016/j.jfca.2017.12.007,Diazinon,Choline chloride || p-chlorophenol || 01:02,0.6973112432900469,0.5,0.6381178703030328,2.0,False
10.1016/j.jfca.2017.12.007,Diazinon,Choline chloride || p-chlorophenol || 01:02,0.6973112432900469,0.5,0.6381178703030328,3.0,False
10.1016/j.jfca.2017.12.007,Fenazaquin,Choline chloride || p-chlorophenol || 01:02,0.9896977432001722,0.0,0.6927884202401206,1.0,True
10.1016/j.jfca.2017.12.007,Metalaxyl,Choline chloride || p-chlorophenol || 01:02,0.8068849514857032,0.0,0.5648194660399922,1.0,True
10.1016/j.jfca.2017.12.007,Oxadiazon,Choline chloride || p-chlorophenol || 01:02,0.9052882968506835,0.0,0.6337018077954784,1.0,True
10.1016/j.jfca.2025.108039,Aldrin,L-menthol || Octanoic acid || 01:01,0.974612228470434,0.0,0.6822285599293038,1.0,True
10.1016/j.jfca.2025.108039,Bifenthrin,L-menthol || Octanoic acid || 01:01,0.9907014224805158,0.0,0.6934909957363611,1.0,True
10.1016/j.jfca.2025.108039,Chloroneb,L-menthol || Octanoic acid || 01:01,0.5669062991981796,0.0,0.39683440943872567,1.0,True
10.1016/j.jfca.2025.108039,Deltamethrin,L-menthol || Octanoic acid || 01:01,0.9814661795185925,0.0,0.6870263256630147,1.0,True
10.1016/j.jfca.2025.108039,Dieldrin,L-menthol || Octanoic acid || 01:01,0.9910716598167145,0.0,0.6937501618717001,1.0,True
10.1016/j.jfca.2025.108039,Heptachlor,L-menthol || Octanoic acid || 01:01,0.931346217409604,0.0,0.6519423521867228,1.0,True
10.1016/j.jfca.2025.108039,Hexachlorobenzene,L-menthol || Octanoic acid || 01:01,0.7620798922072113,0.0,0.5334559245450479,1.0,True
10.1016/j.jfca.2025.108039,Pentachlorobenzene,L-menthol || Octanoic acid || 01:01,0.7543328131794812,0.0,0.5280329692256368,1.0,True
10.1016/j.jfca.2025.108039,Tefluthrin,L-menthol || Octanoic acid || 01:01,0.962297718345333,0.0,0.6736084028417331,1.0,True
10.1016/j.jfca.2025.108039,alpha-BHC,L-menthol || Octanoic acid || 01:01,0.269425591863569,0.0,0.1885979143044983,1.0,True
10.1016/j.jfca.2025.108039,"p,p'-DDT",L-menthol || Octanoic acid || 01:01,0.9557749905420314,0.0,0.6690424933794219,1.0,True
10.1016/j.jpba.2019.01.018,Diniconazole,Choline chloride || Phenol || 01:04,0.4845413162384712,0.0,0.3391789213669298,1.0,True
10.1016/j.jpba.2019.01.018,Fipronil,Choline chloride || Phenol || 01:04,0.4756041844847219,0.0,0.3329229291393053,1.0,True
10.1016/j.jpba.2019.01.018,Hexaconazole,Choline chloride || Phenol || 01:04,0.6073943890319846,0.0,0.4251760723223892,1.0,True
10.1016/j.jpba.2019.01.018,Tebuconazole,Choline chloride || Phenol || 01:04,0.5697392986518443,0.0,0.39881750905629093,1.0,True
10.1016/j.jpba.2019.01.018,Triadimenol,Choline chloride || Phenol || 01:04,0.4950612020915011,0.0,0.3465428414640508,1.0,True
10.1016/j.microc.2022.107226,Alachlor,Thymol || Myristyl alcohol || 02:01,0.9476212780128721,0.0,0.6633348946090104,1.0,True
10.1016/j.microc.2022.107226,Aldrin,Thymol || Myristyl alcohol || 02:01,0.9968497030887513,0.0,0.6977947921621259,1.0,True
10.1016/j.microc.2022.107226,Bromophos methyl,Thymol || Myristyl alcohol || 02:01,0.913789627148211,0.0,0.6396527390037476,1.0,True
10.1016/j.microc.2022.107226,Bromopropylate,Thymol || Myristyl alcohol || 02:01,0.9056076775595386,0.0,0.6339253742916771,1.0,True
10.1016/j.microc.2022.107226,Diazinon,Thymol || Myristyl alcohol || 02:01,0.7673091501571503,0.0,0.5371164051100051,1.0,True
10.1016/j.microc.2022.107226,Dieldrin,Thymol || Myristyl alcohol || 02:01,0.9938507862102917,0.0,0.6956955503472041,1.0,True
10.1016/j.microc.2022.107226,Endosulfan sulfate,Thymol || Myristyl alcohol || 02:01,0.6887008647572477,0.0,0.48209060533007336,1.0,True
10.1016/j.microc.2022.107226,Endrin,Thymol || Myristyl alcohol || 02:01,0.9938507862102917,0.0,0.6956955503472041,1.0,True
10.1016/j.microc.2022.107226,Fenpropathrin,Thymol || Myristyl alcohol || 02:01,0.9968341789455697,0.0,0.6977839252618987,1.0,True
10.1016/j.microc.2022.107226,Fenvalerate,Thymol || Myristyl alcohol || 02:01,0.9976763110195045,0.0,0.6983734177136531,1.0,True
10.1016/j.microc.2022.107226,Heptachlor epoxide,Thymol || Myristyl alcohol || 02:01,0.9830231324165123,0.0,0.6881161926915585,1.0,True
10.1016/j.microc.2022.107226,Hexaconazole,Thymol || Myristyl alcohol || 02:01,0.9567093578623037,0.0,0.6696965505036125,1.0,True
10.1016/j.microc.2022.107226,Lindane,Thymol || Myristyl alcohol || 02:01,0.7324728533919116,0.0,0.5127309973743381,1.0,True
10.1016/j.microc.2022.107226,Tetradifon,Thymol || Myristyl alcohol || 02:01,0.9927493009186236,0.0,0.6949245106430365,1.0,True
10.1016/j.microc.2022.107226,alpha-Endosulfan,Thymol || Myristyl alcohol || 02:01,0.8981022701358942,0.0,0.6286715890951259,1.0,True
10.1016/j.microc.2022.107226,beta-Endosulfan,Thymol || Myristyl alcohol || 02:01,0.8981022701358942,0.0,0.6286715890951259,1.0,True
10.1016/j.microc.2024.109955,Bromopropylate,Betaine || Propylene glycol || 01:04,0.9967301411719018,0.0,0.6977110988203312,1.0,True
10.1016/j.microc.2024.109955,Buprofezin,Betaine || Propylene glycol || 01:04,0.9969735015964293,0.0,0.6978814511175004,1.0,True
10.1016/j.microc.2024.109955,Cadusafos,Betaine || Propylene glycol || 01:04,0.9819802282151638,0.0,0.6873861597506147,1.0,True
10.1016/j.microc.2024.109955,Chlorpyrifos,Betaine || Propylene glycol || 01:04,0.9857456248258745,0.0,0.6900219373781121,1.0,True
10.1016/j.microc.2024.109955,Chlorpyrifos-methyl,Betaine || Propylene glycol || 01:04,0.9826590381804948,0.0,0.6878613267263464,1.0,True
10.1016/j.microc.2024.109955,Diazinon,Betaine || Propylene glycol || 01:04,0.9945746869848454,0.0,0.6962022808893917,1.0,True
10.1016/j.microc.2024.109955,Fenpropathrin,Betaine || Propylene glycol || 01:04,0.9996866018877044,0.0,0.6997806213213931,1.0,True
10.1016/j.microc.2024.109955,Fonofos,Betaine || Propylene glycol || 01:04,0.9626882172756311,0.0,0.6738817520929418,1.0,True
10.1016/j.microc.2024.109955,Oxadiazon,Betaine || Propylene glycol || 01:04,0.9984373250222592,0.0,0.6989061275155815,1.0,True
10.1016/j.microc.2024.109955,Pendimethalin,Betaine || Propylene glycol || 01:04,0.9993590577945863,0.0,0.6995513404562104,1.0,True
10.1016/j.microc.2024.109955,Pirimiphos-ethyl,Betaine || Propylene glycol || 01:04,0.9943151793789686,0.0,0.696020625565278,1.0,True
10.1016/j.microc.2024.109955,Pirimiphos-methyl,Betaine || Propylene glycol || 01:04,0.9930711673695829,0.0,0.6951498171587079,1.0,True
10.1016/j.microc.2024.109955,Pyridaben,Betaine || Propylene glycol || 01:04,0.9961802635572973,0.0,0.6973261844901081,1.0,True
10.1016/j.microc.2024.109955,Tebufenpyrad,Betaine || Propylene glycol || 01:04,0.9991331886913235,0.0,0.6993932320839265,1.0,True
10.1016/j.microc.2024.109955,Tolclofos-methyl,Betaine || Propylene glycol || 01:04,0.9846095758433085,0.0,0.689226703090316,1.0,True
10.1016/j.microc.2025.113881,Aldrin,Choline chloride || p-chlorophenol || 01:02,0.9913708790630055,0.0,0.6939596153441038,1.0,True
10.1016/j.microc.2025.113881,DDE,Choline chloride || p-chlorophenol || 01:02,0.970242435473573,0.0,0.6791697048315011,1.0,True
