scope,baseline_Hit@1,hybrid_Hit@1,baseline_Hit@3,hybrid_Hit@3,baseline_MRR,hybrid_MRR,n_groups,heuristic_Hit@1,heuristic_Hit@3,heuristic_MRR,random_Hit@1_mean,random_Hit@1_sd,random_Hit@3_mean,random_Hit@3_sd,random_MRR_mean,random_MRR_sd
all_groups,0.9831932773109244,0.9747899159663864,0.9831932773109244,0.9831932773109244,0.9866946778711484,0.9799919967987196,119,0.9495798319327732,0.9831932773109244,0.9656262505002,0.9511344537815126,0.009865106546661,0.978109243697479,0.0084368366145192,0.9668390893621732,0.0064112810677808
comparable_ge_2,0.75,0.625,0.75,0.75,0.8020833333333334,0.7023809523809523,8,0.25,0.75,0.4886904761904761,0.273125,0.1467434598815841,0.674375,0.1254979446409745,0.5067314542623269,0.09536780588324
comparable_ge_3,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.736111111111111,0.6031746031746031,6,0.1666666666666666,0.6666666666666666,0.4015873015873015,0.1928333333333333,0.1562787955892932,0.5658333333333334,0.1673305928546325,0.4233086056831026,0.1134454162861252
