feature_family,n_features,mean_auc_decrease,max_auc_decrease,n_positive_auc_importance
Analyte descriptor,8,0.03331365740740743,0.09308703703703705,6
HBD descriptor,7,0.02746507936507939,0.07807222222222225,6
DES-analyte interaction,29,0.01915919540229887,0.05856111111111115,26
DES-level descriptor,14,0.01139682539682542,0.054766666666666665,10
HBA descriptor,7,0.007775396825396848,0.021931481481481482,5
Composition / ratio,4,0.003759722222222247,0.008657407407407412,4
