scope,Hit@1_mean,Hit@1_sd,Hit@3_mean,Hit@3_sd,MRR_mean,MRR_sd
all_groups,0.9511344537815126,0.009865106546661074,0.978109243697479,0.008436836614519262,0.9668390893621731,0.006411281067780856
comparable_ge_2,0.273125,0.14674345988158413,0.674375,0.12549794464097458,0.5067314542623269,0.09536780588324002
comparable_ge_3,0.1928333333333333,0.15627879558929322,0.5658333333333334,0.16733059285463256,0.4233086056831026,0.11344541628612528
