scope,Hit@1,Hit@3,MRR,n_groups
all_groups,0.9495798319327731,0.9831932773109243,0.9656262505001999,119
comparable_ge_2,0.25,0.75,0.4886904761904761,8
comparable_ge_3,0.16666666666666666,0.6666666666666666,0.40158730158730155,6
