scope,n_groups,baseline_Hit@1,hybrid_Hit@1,baseline_Hit@3,hybrid_Hit@3,baseline_MRR,hybrid_MRR,hybrid_better,hybrid_worse,equal
all_groups,119,0.9831932773109244,0.9747899159663864,0.9831932773109244,0.9831932773109244,0.9866946778711484,0.9799919967987196,0,3,116
comparable_ge_2,8,0.75,0.625,0.75,0.75,0.8020833333333334,0.7023809523809523,0,3,5
comparable_ge_3,6,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.736111111111111,0.6031746031746031,0,3,3
