feature,permutation_auc_mean_decrease,permutation_auc_sd,permutation_balanced_accuracy_mean_decrease,permutation_balanced_accuracy_sd,standardized_logistic_coefficient,abs_standardized_logistic_coefficient,feature_family
analyte_hba,0.093087037037037,0.0157603212637766,0.0718888888888888,0.0182035812512365,-0.9188351077990462,0.9188351077990462,Analyte descriptor
hbd_logp,0.0780722222222222,0.0223181009567458,0.0378888888888888,0.0266782960753021,1.721284882833093,1.721284882833093,HBD descriptor
analyte_molwt,0.0685444444444444,0.0271810916284185,0.0251944444444444,0.0206061876419633,1.0011080100465448,1.0011080100465448,Analyte descriptor
pair_heavyatoms_product,0.0585611111111111,0.0198468692786698,0.0105555555555555,0.0214968415710509,-1.644098260707892,1.644098260707892,DES-analyte interaction
des_hbd_absdiff,0.0547666666666666,0.0203636372710793,-0.0041666666666666,0.0236160125631469,1.489899548395769,1.489899548395769,DES-level descriptor
pair_hba_ratio,0.0492203703703704,0.0115099421745486,0.0106944444444444,0.0234787959236561,-0.4184614041504619,0.4184614041504619,DES-analyte interaction
des_tpsa_wmean,0.0478814814814815,0.0173083236000376,0.0031944444444444,0.019203366635136,1.5963701617544463,1.5963701617544463,DES-level descriptor
analyte_logp,0.0476555555555555,0.0124270910752513,0.0066944444444444,0.0194894122886767,0.7882019745845743,0.7882019745845743,Analyte descriptor
pair_hba_absdiff,0.0476296296296296,0.0105512824359185,0.0334999999999999,0.0174661047407489,-0.4334127023964557,0.4334127023964557,DES-analyte interaction
pair_hbond_acceptor_donor_product,0.044,0.012569123009327,0.0453333333333332,0.0180101137567441,-0.4623620214831452,0.4623620214831452,DES-analyte interaction
hbd_tpsa,0.0434777777777778,0.0119724357633271,0.021111111111111,0.0235702260395515,-1.407091000848122,1.407091000848122,HBD descriptor
analyte_ringcount,0.0399851851851852,0.0220872161350877,0.0358888888888888,0.0154169419394843,0.7160771167205542,0.7160771167205542,Analyte descriptor
hbd_heavyatoms,0.0344185185185185,0.0156242205841268,0.0187499999999999,0.0213297342160748,1.1367442353164547,1.1367442353164547,HBD descriptor
pair_tpsa_match_binary,0.0338703703703703,0.010155377257532,0.0239722222222222,0.0136897106986358,0.5714826225489855,0.5714826225489855,DES-analyte interaction
des_rotbonds_wmean,0.0327111111111111,0.0129184558697087,-0.0009444444444444,0.0172612461104043,-1.2460938387864782,1.2460938387864782,DES-level descriptor
pair_hbond_complement_sum,0.0309092592592592,0.0110085963729037,0.0255555555555555,0.0206080411011015,-0.3107106597791028,0.3107106597791028,DES-analyte interaction
pair_logp_product,0.0271,0.0140387768881685,0.0277777777777777,0.0216969162057539,0.8639204127520795,0.8639204127520795,DES-analyte interaction
pair_hbd_product,0.0262203703703703,0.0206967762378403,0.0277499999999999,0.0150526083626233,0.4298647210653997,0.4298647210653997,DES-analyte interaction
pair_heavyatoms_ratio,0.0247314814814815,0.0176439819613176,0.0041666666666666,0.0146064631390388,0.4340298947349955,0.4340298947349955,DES-analyte interaction
pair_logp_match_binary,0.0241388888888889,0.0116084563389534,0.000361111111111,0.0137150509826537,-0.6553162485970889,0.6553162485970889,DES-analyte interaction
