feature,permutation_auc_mean_decrease,permutation_auc_sd,permutation_balanced_accuracy_mean_decrease,permutation_balanced_accuracy_sd,standardized_logistic_coefficient,abs_standardized_logistic_coefficient,feature_family
analyte_hba,0.09308703703703705,0.015760321263776602,0.07188888888888885,0.018203581251236528,-0.9188351077990462,0.9188351077990462,Analyte descriptor
hbd_logp,0.07807222222222225,0.022318100956745867,0.03788888888888885,0.026678296075302144,1.721284882833093,1.721284882833093,HBD descriptor
analyte_molwt,0.06854444444444446,0.027181091628418506,0.025194444444444422,0.02060618764196332,1.0011080100465448,1.0011080100465448,Analyte descriptor
pair_heavyatoms_product,0.05856111111111115,0.019846869278669833,0.010555555555555509,0.021496841571050956,-1.644098260707892,1.644098260707892,DES-analyte interaction
des_hbd_absdiff,0.054766666666666665,0.02036363727107939,-0.004166666666666699,0.02361601256314698,1.489899548395769,1.489899548395769,DES-level descriptor
pair_hba_ratio,0.049220370370370414,0.011509942174548673,0.010694444444444413,0.02347879592365613,-0.4184614041504619,0.4184614041504619,DES-analyte interaction
des_tpsa_wmean,0.04788148148148151,0.01730832360003768,0.0031944444444444177,0.01920336663513606,1.5963701617544463,1.5963701617544463,DES-level descriptor
analyte_logp,0.04765555555555557,0.012427091075251381,0.006694444444444409,0.01948941228867676,0.7882019745845743,0.7882019745845743,Analyte descriptor
pair_hba_absdiff,0.04762962962962965,0.01055128243591858,0.03349999999999996,0.01746610474074899,-0.4334127023964557,0.4334127023964557,DES-analyte interaction
pair_hbond_acceptor_donor_product,0.044000000000000004,0.01256912300932702,0.045333333333333295,0.018010113756744127,-0.4623620214831452,0.4623620214831452,DES-analyte interaction
hbd_tpsa,0.04347777777777781,0.011972435763327195,0.021111111111111084,0.023570226039551584,-1.4070910008481219,1.4070910008481219,HBD descriptor
analyte_ringcount,0.03998518518518521,0.022087216135087726,0.03588888888888886,0.015416941939484353,0.7160771167205542,0.7160771167205542,Analyte descriptor
hbd_heavyatoms,0.034418518518518536,0.015624220584126871,0.018749999999999975,0.021329734216074876,1.1367442353164547,1.1367442353164547,HBD descriptor
pair_tpsa_match_binary,0.033870370370370384,0.01015537725753201,0.023972222222222204,0.013689710698635883,0.5714826225489855,0.5714826225489855,DES-analyte interaction
des_rotbonds_wmean,0.03271111111111113,0.012918455869708766,-0.0009444444444444988,0.017261246110404395,-1.2460938387864782,1.2460938387864782,DES-level descriptor
pair_hbond_complement_sum,0.030909259259259282,0.011008596372903716,0.0255555555555555,0.02060804110110157,-0.3107106597791028,0.3107106597791028,DES-analyte interaction
pair_logp_product,0.027100000000000016,0.014038776888168538,0.02777777777777775,0.021696916205753907,0.8639204127520795,0.8639204127520795,DES-analyte interaction
pair_hbd_product,0.02622037037037039,0.02069677623784032,0.027749999999999976,0.015052608362623352,0.42986472106539975,0.42986472106539975,DES-analyte interaction
pair_heavyatoms_ratio,0.0247314814814815,0.017643981961317664,0.004166666666666645,0.0146064631390388,0.43402989473499554,0.43402989473499554,DES-analyte interaction
pair_logp_match_binary,0.024138888888888915,0.011608456338953433,0.0003611111111110832,0.013715050982653704,-0.6553162485970889,0.6553162485970889,DES-analyte interaction
