feature,permutation_auc_mean_decrease,permutation_auc_sd,permutation_balanced_accuracy_mean_decrease,permutation_balanced_accuracy_sd,standardized_logistic_coefficient,abs_standardized_logistic_coefficient,feature_family
analyte_hba,0.09308703703703705,0.015760321263776602,0.07188888888888885,0.018203581251236528,-0.9188351077990462,0.9188351077990462,Analyte descriptor
hbd_logp,0.07807222222222225,0.022318100956745867,0.03788888888888885,0.026678296075302144,1.721284882833093,1.721284882833093,HBD descriptor
analyte_molwt,0.06854444444444446,0.027181091628418506,0.025194444444444422,0.02060618764196332,1.0011080100465448,1.0011080100465448,Analyte descriptor
pair_heavyatoms_product,0.05856111111111115,0.019846869278669833,0.010555555555555509,0.021496841571050956,-1.644098260707892,1.644098260707892,DES-analyte interaction
des_hbd_absdiff,0.054766666666666665,0.02036363727107939,-0.004166666666666699,0.02361601256314698,1.489899548395769,1.489899548395769,DES-level descriptor
pair_hba_ratio,0.049220370370370414,0.011509942174548673,0.010694444444444413,0.02347879592365613,-0.4184614041504619,0.4184614041504619,DES-analyte interaction
des_tpsa_wmean,0.04788148148148151,0.01730832360003768,0.0031944444444444177,0.01920336663513606,1.5963701617544463,1.5963701617544463,DES-level descriptor
analyte_logp,0.04765555555555557,0.012427091075251381,0.006694444444444409,0.01948941228867676,0.7882019745845743,0.7882019745845743,Analyte descriptor
pair_hba_absdiff,0.04762962962962965,0.01055128243591858,0.03349999999999996,0.01746610474074899,-0.4334127023964557,0.4334127023964557,DES-analyte interaction
pair_hbond_acceptor_donor_product,0.044000000000000004,0.01256912300932702,0.045333333333333295,0.018010113756744127,-0.4623620214831452,0.4623620214831452,DES-analyte interaction
hbd_tpsa,0.04347777777777781,0.011972435763327195,0.021111111111111084,0.023570226039551584,-1.4070910008481219,1.4070910008481219,HBD descriptor
analyte_ringcount,0.03998518518518521,0.022087216135087726,0.03588888888888886,0.015416941939484353,0.7160771167205542,0.7160771167205542,Analyte descriptor
hbd_heavyatoms,0.034418518518518536,0.015624220584126871,0.018749999999999975,0.021329734216074876,1.1367442353164547,1.1367442353164547,HBD descriptor
pair_tpsa_match_binary,0.033870370370370384,0.01015537725753201,0.023972222222222204,0.013689710698635883,0.5714826225489855,0.5714826225489855,DES-analyte interaction
des_rotbonds_wmean,0.03271111111111113,0.012918455869708766,-0.0009444444444444988,0.017261246110404395,-1.2460938387864782,1.2460938387864782,DES-level descriptor
pair_hbond_complement_sum,0.030909259259259282,0.011008596372903716,0.0255555555555555,0.02060804110110157,-0.3107106597791028,0.3107106597791028,DES-analyte interaction
pair_logp_product,0.027100000000000016,0.014038776888168538,0.02777777777777775,0.021696916205753907,0.8639204127520795,0.8639204127520795,DES-analyte interaction
pair_hbd_product,0.02622037037037039,0.02069677623784032,0.027749999999999976,0.015052608362623352,0.42986472106539975,0.42986472106539975,DES-analyte interaction
pair_heavyatoms_ratio,0.0247314814814815,0.017643981961317664,0.004166666666666645,0.0146064631390388,0.43402989473499554,0.43402989473499554,DES-analyte interaction
pair_logp_match_binary,0.024138888888888915,0.011608456338953433,0.0003611111111110832,0.013715050982653704,-0.6553162485970889,0.6553162485970889,DES-analyte interaction
hbd_hba,0.023188888888888905,0.012504816081816448,0.02930555555555552,0.024471654678751283,-1.2213740469236531,1.2213740469236531,HBD descriptor
hba_logp,0.021931481481481482,0.010734289409914492,0.01544444444444441,0.02097110004356084,0.7677757124713755,0.7677757124713755,HBA descriptor
pair_hbd_absdiff,0.021633333333333362,0.019972175088802346,-0.01766666666666669,0.012626031311012434,0.5037169960940178,0.5037169960940178,DES-analyte interaction
des_heavyatoms_wmean,0.019814814814814834,0.010086525529463342,-0.006500000000000044,0.013657630255557912,-0.6783810287412719,0.6783810287412719,DES-level descriptor
pair_molwt_ratio,0.019592592592592595,0.014813981458042665,0.002777777777777748,0.024450756760739326,-0.8070302120097038,0.8070302120097038,DES-analyte interaction
pair_molwt_absdiff,0.019096296296296292,0.016802232198690457,-0.01000000000000003,0.026902888917340547,-1.1283779618897367,1.1283779618897367,DES-analyte interaction
pair_hbond_balance_absdiff,0.017077777777777796,0.02345802339188122,-0.03811111111111115,0.022095402013166836,1.1148819961144512,1.1148819961144512,DES-analyte interaction
analyte_hbd,0.016903703703703733,0.015601103509913119,0.018555555555555527,0.01343927816256752,0.30122130678209447,0.30122130678209447,Analyte descriptor
pair_tpsa_product,0.016822222222222242,0.023627898462069842,-0.015083333333333383,0.020903603711995407,1.2511911362860866,1.2511911362860866,DES-analyte interaction
pair_tpsa_ratio,0.01612962962962965,0.006440106032236364,-0.002333333333333374,0.012361704105626458,-0.1652319374691164,0.1652319374691164,DES-analyte interaction
pair_hbond_donor_acceptor_product,0.015555555555555583,0.01586263262685598,0.006555555555555552,0.012472315020689182,0.23117686639002744,0.23117686639002744,DES-analyte interaction
pair_rotbonds_absdiff,0.014768518518518532,0.00970416753909814,0.01613888888888885,0.022465491369412248,-0.6337276522393159,0.6337276522393159,DES-analyte interaction
pair_ringcount_absdiff,0.014753703703703729,0.014607984573715095,0.003888888888888862,0.014558841868198514,0.4107412060103272,0.4107412060103272,DES-analyte interaction
hba_tpsa,0.014033333333333358,0.005916461191586582,0.011666666666666653,0.011218233614615944,0.4912827098307032,0.4912827098307032,HBA descriptor
hba_hba,0.012440740740740766,0.006103214876146582,0.013833333333333319,0.011748916419697497,0.4284199023004424,0.4284199023004424,HBA descriptor
hba_heavyatoms,0.012316666666666698,0.005046746157318219,0.004611111111111073,0.009947547622590404,-0.5706377971764508,0.5706377971764508,HBA descriptor
pair_rotbonds_product,0.012120370370370394,0.004492191441893064,0.009861111111111072,0.009293109421288952,-0.31881093096395086,0.31881093096395086,DES-analyte interaction
hbd_hbd,0.010581481481481508,0.007117667694943174,0.028555555555555525,0.016339756862358376,-0.4813545687180927,0.4813545687180927,HBD descriptor
ratio_hba_to_hbd,0.008657407407407412,0.006643278160576508,-0.009166666666666707,0.012883020694783589,-0.29997890777866076,0.29997890777866076,Composition / ratio
