doi,analyte,candidate_i_id,candidate_j_id,pair_label,diff__ratio_hba_part,diff__ratio_hbd_part,diff__ratio_hba_fraction,diff__ratio_hba_to_hbd,diff__analyte_hba,diff__analyte_hbd,diff__analyte_heavyatoms,diff__analyte_logp,diff__analyte_molwt,diff__analyte_ringcount,diff__analyte_rotbonds,diff__analyte_tpsa,diff__des_hba_absdiff,diff__des_hba_wmean,diff__des_hbd_absdiff,diff__des_hbd_wmean,diff__des_heavyatoms_absdiff,diff__des_heavyatoms_wmean,diff__des_logp_absdiff,diff__des_logp_wmean,diff__des_ringcount_absdiff,diff__des_ringcount_wmean,diff__des_rotbonds_absdiff,diff__des_rotbonds_wmean,diff__des_tpsa_absdiff,diff__des_tpsa_wmean,diff__hba_hba,diff__hba_hbd,diff__hba_heavyatoms,diff__hba_logp,diff__hba_ringcount,diff__hba_rotbonds,diff__hba_tpsa,diff__hbd_hba,diff__hbd_hbd,diff__hbd_heavyatoms,diff__hbd_logp,diff__hbd_ringcount,diff__hbd_rotbonds,diff__hbd_tpsa,diff__pair_hba_absdiff,diff__pair_hba_product,diff__pair_hba_ratio,diff__pair_hbd_absdiff,diff__pair_hbd_product,diff__pair_hbd_ratio,diff__pair_hbond_acceptor_donor_product,diff__pair_hbond_balance_absdiff,diff__pair_hbond_complement_sum,diff__pair_hbond_donor_acceptor_product,diff__pair_heavyatoms_absdiff,diff__pair_heavyatoms_product,diff__pair_heavyatoms_ratio,diff__pair_logp_absdiff,diff__pair_logp_match_binary,diff__pair_logp_product,diff__pair_logp_ratio,diff__pair_molwt_absdiff,diff__pair_molwt_product,diff__pair_molwt_ratio,diff__pair_ringcount_absdiff,diff__pair_ringcount_product,diff__pair_rotbonds_absdiff,diff__pair_rotbonds_product,diff__pair_rotbonds_ratio,diff__pair_tpsa_absdiff,diff__pair_tpsa_match_binary,diff__pair_tpsa_product,diff__pair_tpsa_ratio
10.18502/ijph.v52i11.14043,Dichlorvos,Choline chloride || Phenol || 01:02,Choline chloride || Phenol || 01:03,1,0.0,-1.0,0.08333333333333331,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333304,0.0,-0.3919416666666663,0.0,-0.08333333333333337,0.0,0.16666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08333333333333304,0.9166666666666572,-0.01724137931034475,0.3919416666666664,0.0,-1.0505604433333329,-27.654887735534842,-3.792749999999998,838.1067240000048,-0.07269864291905481,-0.08333333333333337,0.0,-0.16666666666666696,0.6666666666666665,-2.0,0.0,0.0,0.0,0.0
10.18502/ijph.v52i11.14043,Dichlorvos,Choline chloride || Phenol || 01:03,Choline chloride || Phenol || 01:02,0,0.0,1.0,-0.08333333333333331,-0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08333333333333304,0.0,0.3919416666666663,0.0,0.08333333333333337,0.0,-0.16666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333304,-0.9166666666666572,0.01724137931034475,-0.3919416666666664,0.0,1.0505604433333329,27.654887735534842,3.792749999999998,-838.1067240000048,0.07269864291905481,0.08333333333333337,0.0,0.16666666666666696,-0.6666666666666665,2.0,0.0,0.0,0.0,0.0
10.18502/ijph.v52i11.14043,Dichlorvos,Choline chloride || Phenol || 01:02,Choline chloride || Phenol || 01:04,1,0.0,-2.0,0.1333333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333286,0.0,-0.6271066666666663,0.0,-0.13333333333333341,0.0,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13333333333333286,1.4666666666666544,-0.02777777777777768,0.6271066666666663,0.0,-1.6808967093333327,-21.20326468096331,-6.068400000000025,1340.9707584000025,-0.11888235057235175,-0.13333333333333341,0.0,-0.26666666666666705,1.0666666666666664,-4.0,0.0,0.0,0.0,0.0
10.18502/ijph.v52i11.14043,Dichlorvos,Choline chloride || Phenol || 01:04,Choline chloride || Phenol || 01:02,0,0.0,2.0,-0.1333333333333333,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13333333333333286,0.0,0.6271066666666663,0.0,0.13333333333333341,0.0,-0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333286,-1.4666666666666544,0.02777777777777768,-0.6271066666666663,0.0,1.6808967093333327,21.20326468096331,6.068400000000025,-1340.9707584000025,0.11888235057235175,0.13333333333333341,0.0,0.26666666666666705,-1.0666666666666664,4.0,0.0,0.0,0.0,0.0
10.18502/ijph.v52i11.14043,Fenthion,Choline chloride || Phenol || 01:02,Choline chloride || Phenol || 01:03,1,0.0,-1.0,0.08333333333333331,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333304,0.0,-0.3919416666666663,0.0,-0.08333333333333337,0.0,0.16666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08333333333333215,1.3333333333333144,-0.0250783699059558,0.39194166666666685,0.0,-1.4160930805,-37.277146129772476,-3.7927500000000123,1055.6550712499993,-0.09156911509338173,0.08333333333333331,-0.08333333333333337,-0.16666666666666696,0.833333333333333,-2.5,0.0,0.0,0.0,0.0
10.18502/ijph.v52i11.14043,Fenthion,Choline chloride || Phenol || 01:03,Choline chloride || Phenol || 01:02,0,0.0,1.0,-0.08333333333333331,-0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08333333333333304,0.0,0.3919416666666663,0.0,0.08333333333333337,0.0,-0.16666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333215,-1.3333333333333144,0.0250783699059558,-0.39194166666666685,0.0,1.4160930805,37.277146129772476,3.7927500000000123,-1055.6550712499993,0.09156911509338173,-0.08333333333333331,0.08333333333333337,0.16666666666666696,-0.833333333333333,2.5,0.0,0.0,0.0,0.0
10.18502/ijph.v52i11.14043,Fenthion,Choline chloride || Phenol || 01:02,Choline chloride || Phenol || 01:04,1,0.0,-2.0,0.1333333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333286,0.0,-0.6271066666666663,0.0,-0.13333333333333341,0.0,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13333333333333286,2.1333333333333115,-0.04040404040404022,0.6271066666666667,0.0,-2.2657489288,-28.580741440685753,-6.068400000000025,1689.048114000001,-0.14974078201503982,0.13333333333333341,-0.13333333333333341,-0.2666666666666666,1.333333333333333,-5.0,0.0,0.0,0.0,0.0
10.18502/ijph.v52i11.14043,Fenthion,Choline chloride || Phenol || 01:04,Choline chloride || Phenol || 01:02,0,0.0,2.0,-0.1333333333333333,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13333333333333286,0.0,0.6271066666666663,0.0,0.13333333333333341,0.0,-0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333286,-2.1333333333333115,0.04040404040404022,-0.6271066666666667,0.0,2.2657489288,28.580741440685753,6.068400000000025,-1689.048114000001,0.14974078201503982,-0.13333333333333341,0.13333333333333341,0.2666666666666666,-1.333333333333333,5.0,0.0,0.0,0.0,0.0
10.18502/ijph.v52i11.14043,Metribuzin,Choline chloride || Phenol || 01:02,Choline chloride || Phenol || 01:03,1,0.0,-1.0,0.08333333333333331,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333304,0.0,-0.3919416666666663,0.0,-0.08333333333333337,0.0,0.16666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08333333333333304,1.1666666666666572,-0.021943573667712046,0.39194166666666647,0.0,-0.1456063291666666,-3.8329319481238624,-3.7927500000000123,812.7635684999987,-0.0705003393386423,0.08333333333333331,-0.08333333333333337,-0.16666666666666669,0.16666666666666663,-0.5,0.0,0.0,0.0,0.0
10.18502/ijph.v52i11.14043,Metribuzin,Choline chloride || Phenol || 01:03,Choline chloride || Phenol || 01:02,0,0.0,1.0,-0.08333333333333331,-0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08333333333333304,0.0,0.3919416666666663,0.0,0.08333333333333337,0.0,-0.16666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333304,-1.1666666666666572,0.021943573667712046,-0.39194166666666647,0.0,0.1456063291666666,3.8329319481238624,3.7927500000000123,-812.7635684999987,0.0705003393386423,-0.08333333333333331,0.08333333333333337,0.16666666666666669,-0.16666666666666663,0.5,0.0,0.0,0.0,0.0
